foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q5479812,Francie Molloy,Q76382,Sinn Féin,20473,Q30173038,General election 2019,1
,Q24088044,Keith Buchanan,Q215519,Democratic Unionist Party,10936,Q30173038,General election 2019,2
Q76130879,,Denise Johnston,Q175443,Social Democratic and Labour Party,6384,Q30173038,General election 2019,3
Q76130949,,Mel Boyle,Q244927,Alliance Party of Northern Ireland,3526,Q30173038,General election 2019,4
Q76119964,,Neil Richardson,Q841045,Ulster Unionist Party,2611,Q30173038,General election 2019,5
Q76509748,,Conor Rafferty,Q327591,Independent politician,690,Q30173038,General election 2019,6
,Q5479812,Francie Molloy,Q76382,Sinn Féin,25455,Q25052149,General election 2017,1
,Q24088044,Keith Buchanan,Q215519,Democratic Unionist Party,12565,Q25052149,General election 2017,2
,,Malachy Quinn,Q175443,Social Democratic and Labour Party,4563,Q25052149,General election 2017,3
,,Mark Glasgow,Q841045,Ulster Unionist Party,3017,Q25052149,General election 2017,4
,,Fay Watson,Q244927,Alliance Party of Northern Ireland,1094,Q25052149,General election 2017,5
,Q5479812,Francie Molloy,Q76382,Sinn Féin,19935,Q3586935,General election 2015,1
,Q7416726,Sandra Overend,Q841045,Ulster Unionist Party,6318,Q3586935,General election 2015,2
,Q5982264,Ian McCrea,Q215519,Democratic Unionist Party,5465,Q3586935,General election 2015,3
,,Malachy Quinn,Q175443,Social Democratic and Labour Party,5055,Q3586935,General election 2015,4
,,Gareth Ferguson,Q985076,Traditional Unionist Voice,1892,Q3586935,General election 2015,5
,,Alan Day,Q10647,UK Independence Party,863,Q3586935,General election 2015,6
Q98270755,,Eric Bullick,Q244927,Alliance Party of Northern Ireland,778,Q3586935,General election 2015,7
,,Hugh Scullion,Q1860218,Workers' Party of Ireland,496,Q3586935,General election 2015,8
,,Lucille Nicholson,Q7058484,Northern Ireland Conservatives,120,Q3586935,General election 2015,9
,Q5479812,Francie Molloy,Q76382,Sinn Féin,17462,Q6841038,2013 Mid Ulster by-election,1
,,Nigel Lutton,Q327591,Independent (politician),12781,Q6841038,2013 Mid Ulster by-election,2
,Q7148268,Patsy McGlone,Q175443,Social Democratic and Labour Party,6478,Q6841038,2013 Mid Ulster by-election,3
Q98270755,,Eric Bullick,Q244927,Alliance Party of Northern Ireland,487,Q6841038,2013 Mid Ulster by-election,4
,Q57689,Martin McGuinness,Q76382,Sinn Féin,21239,Q215622,General election 2010,1
,Q5982264,Ian McCrea,Q215519,Democratic Unionist Party,5876,Q215622,General election 2010,2
,,Tony Quinn,Q175443,Social Democratic and Labour Party,5826,Q215622,General election 2010,3
,Q7416726,Sandra Overend,Q7879942,Ulster Conservatives and Unionists,4509,Q215622,General election 2010,4
,Q7965634,Walter Millar,Q985076,Traditional Unionist Voice,2995,Q215622,General election 2010,5
,,Ian Butler,Q244927,Alliance Party of Northern Ireland,397,Q215622,General election 2010,6
,Q57689,Martin McGuinness,Q76382,Sinn Féin,21641,Q428598,General election 2005,1
,Q5982264,Ian McCrea,Q215519,Democratic Unionist Party,10665,Q428598,General election 2005,2
,Q7148268,Patsy McGlone,Q175443,Social Democratic and Labour Party,7922,Q428598,General election 2005,3
,,Billy Armstrong,Q841045,Ulster Unionist Party,4853,Q428598,General election 2005,4
Q98266348,,Francis Donnelly,Q1860218,Workers' Party of Ireland,345,Q428598,General election 2005,5
,Q57689,Martin McGuinness,Q76382,Sinn Féin,25502,Q590740,General election 2001,1
,Q5982264,Ian McCrea,Q215519,Democratic Unionist Party,15549,Q590740,General election 2001,2
,,Eilish Haughey,Q175443,Social Democratic and Labour Party,8376,Q590740,General election 2001,3
